=== DANH SÁCH LUẬT KẾT HỢP (MinConf = 0.6) ===
29 -> 5 : sup = 2964.00, conf = 0.93, lift = 0.00
5 -> 29 : sup = 2964.00, conf = 1.00, lift = 0.00
29 -> 7 : sup = 3069.00, conf = 0.96, lift = 0.00
7 -> 29 : sup = 3069.00, conf = 1.00, lift = 0.00
5 -> 34 : sup = 2889.00, conf = 0.97, lift = 0.00
34 -> 5 : sup = 2889.00, conf = 0.95, lift = 0.00
7 -> 34 : sup = 2930.00, conf = 0.95, lift = 0.00
34 -> 7 : sup = 2930.00, conf = 0.96, lift = 0.00
7 -> 36 : sup = 2979.00, conf = 0.97, lift = 0.00
36 -> 7 : sup = 2979.00, conf = 0.96, lift = 0.00
40 -> 5 : sup = 2950.00, conf = 0.93, lift = 0.00
5 -> 40 : sup = 2950.00, conf = 0.99, lift = 0.00
40 -> 7 : sup = 3050.00, conf = 0.96, lift = 0.00
7 -> 40 : sup = 3050.00, conf = 0.99, lift = 0.00
7 -> 48 : sup = 2893.00, conf = 0.94, lift = 0.00
48 -> 7 : sup = 2893.00, conf = 0.96, lift = 0.00
5 -> 52 : sup = 2960.00, conf = 1.00, lift = 0.00
52 -> 5 : sup = 2960.00, conf = 0.93, lift = 0.00
7 -> 52 : sup = 3065.00, conf = 1.00, lift = 0.00
52 -> 7 : sup = 3065.00, conf = 0.96, lift = 0.00
29 -> 34 : sup = 3036.00, conf = 0.95, lift = 0.00
34 -> 29 : sup = 3036.00, conf = 1.00, lift = 0.00
58 -> 5 : sup = 2970.00, conf = 0.93, lift = 0.00
5 -> 58 : sup = 2970.00, conf = 1.00, lift = 0.00
56 -> 7 : sup = 2919.00, conf = 0.97, lift = 0.00
7 -> 56 : sup = 2919.00, conf = 0.95, lift = 0.00
29 -> 36 : sup = 3084.00, conf = 0.97, lift = 0.00
36 -> 29 : sup = 3084.00, conf = 1.00, lift = 0.00
60 -> 5 : sup = 2924.00, conf = 0.93, lift = 0.00
