Antecedent,Consequent,Support,Confidence,Lift,Conviction
"29","5",2964.0000,0.9318,0.0003,-43537.1889
"5","29",2964.0000,0.9976,0.0003,-1349682.8571
"29","7",3069.0000,0.9648,0.0003,-87335.4911
"7","29",3069.0000,0.9977,0.0003,-1397382.8571
"5","34",2889.0000,0.9724,0.0003,-110108.1585
"34","5",2889.0000,0.9503,0.0003,-59793.3775
"7","34",2930.0000,0.9525,0.0003,-64027.1507
"34","7",2930.0000,0.9638,0.0003,-84981.8182
"7","36",2979.0000,0.9685,0.0003,-98241.7320
"36","7",2979.0000,0.9613,0.0003,-79411.8750
"40","5",2950.0000,0.9306,0.0003,-42795.0000
"5","40",2950.0000,0.9929,0.0003,-448338.0476
"40","7",3050.0000,0.9621,0.0003,-81231.2500
"7","40",3050.0000,0.9915,0.0003,-374917.0769
"7","48",2893.0000,0.9405,0.0003,-50627.9344
"48","7",2893.0000,0.9602,0.0003,-77208.1250
"5","52",2960.0000,0.9963,0.0003,-859969.4545
"52","5",2960.0000,0.9294,0.0003,-42042.0000
"7","52",3065.0000,0.9964,0.0003,-890362.1818
"52","7",3065.0000,0.9623,0.0003,-81615.6250
"29","34",3036.0000,0.9544,0.0003,-66669.3724
"34","29",3036.0000,0.9987,0.0003,-2416800.0000
"58","5",2970.0000,0.9296,0.0003,-42174.0000
"5","58",2970.0000,0.9997,0.0003,-9489374.0000
"56","7",2919.0000,0.9662,0.0003,-91074.2647
"7","56",2919.0000,0.9490,0.0003,-59168.9172
"29","36",3084.0000,0.9695,0.0003,-101595.2371
"36","29",3084.0000,0.9952,0.0003,-656988.0000
"60","5",2924.0000,0.9285,0.0003,-41566.8000
"5","60",2924.0000,0.9842,0.0003,-198993.7872
"58","7",3075.0000,0.9624,0.0003,-81871.8750
"7","58",3075.0000,0.9997,0.0003,-9824744.0000
"60","7",3031.0000,0.9625,0.0003,-82060.8051
"7","60",3031.0000,0.9854,0.0003,-215183.2889
"5 29","34",2885.0000,0.9733,0.0003,-114020.2025
"29 34","5",2885.0000,0.9503,0.0003,-59714.7020
"5 34","29",2885.0000,0.9986,0.0003,-2296755.0000
"29","5 34",2885.0000,0.9069,0.0003,-31036.2432
"5","29 34",2885.0000,0.9711,0.0003,-104848.6628
"34","5 29",2885.0000,0.9490,0.0003,-58113.0323
"62","7",2940.0000,0.9608,0.0003,-78412.5000
"7","62",2940.0000,0.9558,0.0003,-69187.3824
"29","40",3155.0000,0.9918,0.0003,-387714.9615
"40","29",3155.0000,0.9953,0.0003,-672040.0000
"36","34",2943.0000,0.9497,0.0003,-60370.9038
"34","36",2943.0000,0.9681,0.0003,-97091.9588
"7 29","34",2928.0000,0.9541,0.0003,-66146.7447
"29 34","7",2928.0000,0.9644,0.0003,-86441.6667
"7 34","29",2928.0000,0.9993,0.0003,-4658700.0000
"29","7 34",2928.0000,0.9205,0.0003,-36826.6759
"7","29 34",2928.0000,0.9519,0.0003,-63078.7838
"34","7 29",2928.0000,0.9632,0.0003,-83274.2857
"7 29","36",2972.0000,0.9684,0.0003,-98018.1649
"29 36","7",2972.0000,0.9637,0.0003,-84672.3214
"7 36","29",2972.0000,0.9977,0.0003,-1353317.1429
"29","7 36",2972.0000,0.9343,0.0003,-45325.4450
"7","29 36",2972.0000,0.9662,0.0003,-91185.6538
"36","7 29",2972.0000,0.9590,0.0003,-74864.0315
"7","66",2906.0000,0.9447,0.0003,-54644.2353
"66","7",2906.0000,0.9619,0.0003,-80778.9130
"40","34",3017.0000,0.9517,0.0003,-62964.9020
"34","40",3017.0000,0.9924,0.0003,-418859.1304
"29 40","5",2943.0000,0.9328,0.0003,-44199.7642
"5 29","40",2943.0000,0.9929,0.0003,-447281.7143
"5 40","29",2943.0000,0.9976,0.0003,-1340142.8571
"29","5 40",2943.0000,0.9252,0.0003,-39414.9958
"40","5 29",2943.0000,0.9284,0.0003,-41377.5771
"5","29 40",2943.0000,0.9906,0.0003,-334661.9286
"40","36",3073.0000,0.9694,0.0003,-101243.9175
"36","40",3073.0000,0.9916,0.0003,-377720.4231
"29 40","7",3043.0000,0.9645,0.0003,-86621.6518
"7 29","40",3043.0000,0.9915,0.0003,-374063.8846
"7 40","29",3043.0000,0.9977,0.0003,-1385571.4286
"29","7 40",3043.0000,0.9566,0.0003,-70281.6594
"40","7 29",3043.0000,0.9599,0.0003,-76579.2126
"7","29 40",3043.0000,0.9893,0.0003,-293991.0303
"29","48",2998.0000,0.9425,0.0003,-52356.1311
"48","29",2998.0000,0.9950,0.0003,-638756.0000
"29","52",3170.0000,0.9965,0.0003,-920754.9091
"52","29",3170.0000,0.9953,0.0003,-675220.0000
"7 40","34",2907.0000,0.9531,0.0003,-64817.8322
"34 40","7",2907.0000,0.9635,0.0003,-84338.8636
"7 34","40",2907.0000,0.9922,0.0003,-403703.0435
"40","7 34",2907.0000,0.9170,0.0003,-35303.9163
"7","34 40",2907.0000,0.9451,0.0003,-54894.7692
"34","7 40",2907.0000,0.9563,0.0003,-69691.4286
"7 40","36",2953.0000,0.9682,0.0003,-97411.3402
"36 40","7",2953.0000,0.9610,0.0003,-78745.6250
"7 36","40",2953.0000,0.9913,0.0003,-363094.2692
"40","7 36",2953.0000,0.9315,0.0003,-43503.5023
"7","36 40",2953.0000,0.9600,0.0003,-76824.9756
"36","7 40",2953.0000,0.9529,0.0003,-64718.1575
"36","48",2987.0000,0.9639,0.0003,-83340.9643
"48","36",2987.0000,0.9914,0.0003,-359010.5385
"7 29","48",2886.0000,0.9404,0.0003,-50512.7213
"29 48","7",2886.0000,0.9626,0.0003,-82311.1607
"7 48","29",2886.0000,0.9976,0.0003,-1314248.5714
"29","7 48",2886.0000,0.9073,0.0003,-31184.5831
"7","29 48",2886.0000,0.9382,0.0003,-48519.8526
"48","7 29",2886.0000,0.9578,0.0003,-72786.4882
"29","56",3006.0000,0.9450,0.0003,-54894.9714
"56","29",3006.0000,0.9950,0.0003,-640452.0000
"52","34",3031.0000,0.9516,0.0003,-62852.0455
"34","52",3031.0000,0.9970,0.0003,-1075484.4444
"5 29","52",2953.0000,0.9963,0.0003,-857943.2727
"29 52","5",2953.0000,0.9315,0.0003,-43386.6359
"5 52","29",2953.0000,0.9976,0.0003,-1344685.7143
"29","5 52",2953.0000,0.9283,0.0003,-41283.2412
"5","29 52",2953.0000,0.9939,0.0003,-523061.0556
"52","5 29",2953.0000,0.9272,0.0003,-40677.3922
"29","58",3180.0000,0.9997,0.0003,-10160114.0000
"58","29",3180.0000,0.9953,0.0003,-677340.0000
"52","36",3088.0000,0.9695,0.0003,-101722.9897
"36","52",3088.0000,0.9965,0.0003,-897019.6364
"40","48",2987.0000,0.9423,0.0003,-52175.0820
"48","40",2987.0000,0.9914,0.0003,-367238.3462
"7 29","52",3058.0000,0.9964,0.0003,-888336.0000
"29 52","7",3058.0000,0.9647,0.0003,-87033.4821
"7 52","29",3058.0000,0.9977,0.0003,-1392385.7143
"29","7 52",3058.0000,0.9613,0.0003,-79240.5203
"7","29 52",3058.0000,0.9941,0.0003,-541546.8889
"52","7 29",3058.0000,0.9601,0.0003,-76941.5748
"29","60",3136.0000,0.9859,0.0003,-222528.6222
"60","29",3136.0000,0.9959,0.0003,-770293.8462
"56","34",2884.0000,0.9547,0.0003,-67013.2774
"34","56",2884.0000,0.9487,0.0003,-58851.2821
"62","29",3045.0000,0.9951,0.0003,-648720.0000
"29","62",3045.0000,0.9572,0.0003,-71549.1103
"5 52","34",2880.0000,0.9730,0.0003,-112443.0000
"5 34","52",2880.0000,0.9969,0.0003,-1022064.0000
"34 52","5",2880.0000,0.9502,0.0003,-59616.3576
"5","34 52",2880.0000,0.9694,0.0003,-98924.5055
"52","5 34",2880.0000,0.9042,0.0003,-30158.2951
"34","5 52",2880.0000,0.9474,0.0003,-56221.0000
"58","34",3039.0000,0.9512,0.0003,-62241.0577
"34","58",3039.0000,0.9997,0.0003,-9709760.0000
"56","36",2924.0000,0.9679,0.0003,-96485.1340
"36","56",2924.0000,0.9435,0.0003,-53479.8857
"40","52",3159.0000,0.9965,0.0003,-917570.9091
"52","40",3159.0000,0.9918,0.0003,-388202.5000
"29 58","5",2963.0000,0.9318,0.0003,-43523.5023
"5 29","58",2963.0000,0.9997,0.0003,-9467016.0000
"5 58","29",2963.0000,0.9976,0.0003,-1349228.5714
"29","5 58",2963.0000,0.9315,0.0003,-43322.8853
"58","5 29",2963.0000,0.9274,0.0003,-40805.1078
"5","29 58",2963.0000,0.9973,0.0003,-1180601.1250
"29 56","7",2912.0000,0.9687,0.0003,-98334.5745
"7 29","56",2912.0000,0.9488,0.0003,-59034.2675
"7 56","29",2912.0000,0.9976,0.0003,-1326060.0000
"29","7 56",2912.0000,0.9154,0.0003,-34506.1636
"56","7 29",2912.0000,0.9639,0.0003,-85031.4495
"7","29 56",2912.0000,0.9467,0.0003,-56362.0732
"7 52","34",2921.0000,0.9530,0.0003,-64684.2708
"7 34","52",2921.0000,0.9969,0.0003,-1036568.8889
"34 52","7",2921.0000,0.9637,0.0003,-84730.2273
"7","34 52",2921.0000,0.9496,0.0003,-60130.8387
"52","7 34",2921.0000,0.9171,0.0003,-35336.6098
"34","7 52",2921.0000,0.9609,0.0003,-78273.6134
"60","34",2995.0000,0.9511,0.0003,-62141.6299
"34","60",2995.0000,0.9852,0.0003,-212664.8889
"58","36",3098.0000,0.9696,0.0003,-102042.3711
"36","58",3098.0000,0.9997,0.0003,-9898206.0000
