=== DANH SÁCH LUẬT KẾT HỢP (MinConf = 0.5) ===
15833 -> 40 : sup = 718.00, conf = 0.63, lift = 0.00
476 -> 40 : sup = 1500.00, conf = 0.69, lift = 0.00
476 -> 49 : sup = 1428.00, conf = 0.66, lift = 0.00
40 439 -> 49 : sup = 780.00, conf = 0.62, lift = 0.00
49 439 -> 40 : sup = 780.00, conf = 0.76, lift = 0.00
10 -> 40 : sup = 832.00, conf = 0.61, lift = 0.00
523 -> 40 : sup = 648.00, conf = 0.67, lift = 0.00
40 476 -> 49 : sup = 1092.00, conf = 0.73, lift = 0.00
49 476 -> 40 : sup = 1092.00, conf = 0.76, lift = 0.00
476 -> 40 49 : sup = 1092.00, conf = 0.50, lift = 0.00
10 -> 49 : sup = 790.00, conf = 0.58, lift = 0.00
534 -> 40 : sup = 922.00, conf = 0.62, lift = 0.00
534 -> 49 : sup = 861.00, conf = 0.58, lift = 0.00
33 -> 40 : sup = 8455.00, conf = 0.56, lift = 0.00
37 -> 39 : sup = 2790.00, conf = 0.95, lift = 0.00
37 -> 40 : sup = 2037.00, conf = 0.69, lift = 0.00
38 -> 39 : sup = 1046.00, conf = 0.97, lift = 0.00
549 -> 40 : sup = 663.00, conf = 0.58, lift = 0.00
38 -> 40 : sup = 707.00, conf = 0.66, lift = 0.00
39 -> 40 : sup = 10345.00, conf = 0.66, lift = 0.00
33 -> 49 : sup = 8034.00, conf = 0.53, lift = 0.00
42 -> 40 : sup = 11414.00, conf = 0.76, lift = 0.00
549 -> 49 : sup = 658.00, conf = 0.58, lift = 0.00
39 -> 49 : sup = 7944.00, conf = 0.51, lift = 0.00
40 -> 49 : sup = 29142.00, conf = 0.58, lift = 0.00
49 -> 40 : sup = 29142.00, conf = 0.69, lift = 0.00
50 -> 40 : sup = 768.00, conf = 0.69, lift = 0.00
42 -> 49 : sup = 9018.00, conf = 0.60, lift = 0.00
56 -> 39 : sup = 657.00, conf = 0.93, lift = 0.00
50 -> 49 : sup = 843.00, conf = 0.75, lift = 0.00
61 -> 40 : sup = 983.00, conf = 0.66, lift = 0.00
66 -> 40 : sup = 2787.00, conf = 0.62, lift = 0.00
61 -> 49 : sup = 815.00, conf = 0.55, lift = 0.00
40 534 -> 49 : sup = 632.00, conf = 0.69, lift = 0.00
49 534 -> 40 : sup = 632.00, conf = 0.73, lift = 0.00
33 39 -> 40 : sup = 1840.00, conf = 0.65, lift = 0.00
66 -> 49 : sup = 2529.00, conf = 0.57, lift = 0.00
33 42 -> 40 : sup = 2359.00, conf = 0.74, lift = 0.00
37 40 -> 39 : sup = 1945.00, conf = 0.95, lift = 0.00
37 39 -> 40 : sup = 1945.00, conf = 0.70, lift = 0.00
37 -> 39 40 : sup = 1945.00, conf = 0.66, lift = 0.00
38 40 -> 39 : sup = 684.00, conf = 0.97, lift = 0.00
38 39 -> 40 : sup = 684.00, conf = 0.65, lift = 0.00
38 -> 39 40 : sup = 684.00, conf = 0.64, lift = 0.00
590 -> 40 : sup = 708.00, conf = 0.63, lift = 0.00
37 42 -> 39 : sup = 671.00, conf = 0.96, lift = 0.00
79 -> 40 : sup = 774.00, conf = 0.73, lift = 0.00
80 -> 40 : sup = 1111.00, conf = 0.69, lift = 0.00
593 -> 40 : sup = 723.00, conf = 0.59, lift = 0.00
33 39 -> 49 : sup = 1646.00, conf = 0.58, lift = 0.00
39 42 -> 40 : sup = 3051.00, conf = 0.78, lift = 0.00
33 40 -> 49 : sup = 5402.00, conf = 0.64, lift = 0.00
33 49 -> 40 : sup = 5402.00, conf = 0.67, lift = 0.00
33 42 -> 49 : sup = 2063.00, conf = 0.65, lift = 0.00
37 49 -> 39 : sup = 1360.00, conf = 0.96, lift = 0.00
37 40 -> 49 : sup = 1116.00, conf = 0.55, lift = 0.00
37 49 -> 40 : sup = 1116.00, conf = 0.79, lift = 0.00
590 -> 49 : sup = 628.00, conf = 0.56, lift = 0.00
79 -> 49 : sup = 824.00, conf = 0.78, lift = 0.00
39 40 -> 49 : sup = 6102.00, conf = 0.59, lift = 0.00
39 49 -> 40 : sup = 6102.00, conf = 0.77, lift = 0.00
80 -> 49 : sup = 893.00, conf = 0.56, lift = 0.00
90 -> 40 : sup = 2749.00, conf = 0.72, lift = 0.00
593 -> 49 : sup = 743.00, conf = 0.61, lift = 0.00
39 42 -> 49 : sup = 2374.00, conf = 0.61, lift = 0.00
40 42 -> 49 : sup = 7366.00, conf = 0.65, lift = 0.00
42 49 -> 40 : sup = 7366.00, conf = 0.82, lift = 0.00
605 -> 40 : sup = 775.00, conf = 0.64, lift = 0.00
90 -> 49 : sup = 2798.00, conf = 0.73, lift = 0.00
102 -> 40 : sup = 1400.00, conf = 0.63, lift = 0.00
605 -> 49 : sup = 687.00, conf = 0.57, lift = 0.00
106 -> 39 : sup = 643.00, conf = 0.98, lift = 0.00
42 66 -> 40 : sup = 792.00, conf = 0.80, lift = 0.00
111 -> 39 : sup = 2725.00, conf = 0.98, lift = 0.00
111 -> 40 : sup = 1759.00, conf = 0.63, lift = 0.00
