34 : 3040
66 : 3021
36 : 3099
5 : 2971
7 : 3076
40 : 3170
48 : 3013
52 : 3185
56 : 3021
58 : 3195
60 : 3149
29 : 3181
62 : 3060
66 62 : 2892
5 29 : 2964
7 29 : 3069
34 5 : 2889
34 7 : 2930
36 7 : 2979
5 40 : 2950
7 40 : 3050
48 7 : 2893
52 5 : 2960
52 7 : 3065
34 29 : 3036
5 58 : 2970
7 56 : 2919
36 29 : 3084
5 60 : 2924
7 58 : 3075
7 60 : 3031
7 62 : 2940
40 29 : 3155
34 36 : 2943
66 7 : 2906
34 40 : 3017
36 40 : 3073
48 29 : 2998
52 29 : 3170
48 36 : 2987
56 29 : 3006
34 52 : 3031
58 29 : 3180
36 52 : 3088
48 40 : 2987
60 29 : 3136
34 56 : 2884
29 62 : 3045
34 58 : 3039
36 56 : 2924
52 40 : 3159
34 60 : 2995
36 58 : 3098
66 29 : 3013
34 62 : 2913
36 60 : 3052
40 56 : 2996
36 62 : 2963
40 58 : 3169
34 66 : 2886
40 60 : 3124
48 52 : 3002
66 36 : 2924
40 62 : 3045
66 40 : 2997
48 58 : 3012
48 60 : 2986
52 56 : 3016
48 62 : 2877
52 58 : 3184
52 60 : 3138
52 62 : 3049
56 58 : 3020
56 60 : 2974
66 52 : 3010
56 62 : 2923
58 60 : 3148
58 62 : 3060
60 62 : 3014
66 58 : 3020
66 60 : 3021
34 5 29 : 2885
34 7 29 : 2928
36 7 29 : 2972
5 40 29 : 2943
7 40 29 : 3043
34 7 40 : 2907
36 7 40 : 2953
48 7 29 : 2886
52 5 29 : 2953
52 7 29 : 3058
34 52 5 : 2880
5 58 29 : 2963
7 56 29 : 2912
34 52 7 : 2921
5 60 29 : 2919
7 58 29 : 3068
36 52 7 : 2968
7 60 29 : 3024
34 5 58 : 2888
52 5 40 : 2939
7 29 62 : 2933
34 7 58 : 2929
52 7 40 : 3039
34 36 29 : 2939
34 7 60 : 2885
36 7 58 : 2978
66 7 29 : 2902
36 7 60 : 2934
5 40 58 : 2949
7 40 56 : 2894
34 40 29 : 3013
5 40 60 : 2904
7 40 58 : 3049
36 40 29 : 3058
7 40 60 : 3006
48 52 7 : 2882
7 40 62 : 2925
34 36 40 : 2920
66 7 40 : 2882
48 7 58 : 2892
48 36 29 : 2972
52 5 58 : 2959
52 7 56 : 2914
34 52 29 : 3027
52 5 60 : 2913
52 7 58 : 3064
36 52 29 : 3073
48 40 29 : 2972
52 7 60 : 3020
34 56 29 : 2880
52 7 62 : 2929
34 58 29 : 3035
7 56 58 : 2918
36 56 29 : 2909
52 40 29 : 3144
34 36 52 : 2934
34 60 29 : 2991
5 58 60 : 2923
36 58 29 : 3083
48 36 40 : 2961
66 52 7 : 2895
34 29 62 : 2909
36 60 29 : 3039
7 58 60 : 3030
40 56 29 : 2981
34 52 40 : 3008
36 29 62 : 2948
7 58 62 : 2940
40 58 29 : 3154
34 36 58 : 2942
36 52 40 : 3062
34 66 29 : 2882
7 60 62 : 2896
40 60 29 : 3111
48 52 29 : 2987
34 36 60 : 2898
66 36 29 : 2916
66 7 58 : 2905
40 29 62 : 3030
34 40 58 : 3016
36 40 56 : 2899
66 7 60 : 2906
34 40 60 : 2973
36 40 58 : 3072
66 40 29 : 2989
48 58 29 : 2997
34 40 62 : 2901
36 40 60 : 3027
48 36 52 : 2976
48 60 29 : 2973
52 56 29 : 3001
36 40 62 : 2948
52 58 29 : 3169
48 52 40 : 2976
52 60 29 : 3125
66 36 40 : 2900
48 36 58 : 2986
34 52 56 : 2879
52 29 62 : 3034
56 58 29 : 3005
48 36 60 : 2960
